image_id,file_name,manga_title,width,height,area,onomatopoeia_count
0,ARMS/000.jpg,ARMS,1654,1170,1935180,0
1,ARMS/001.jpg,ARMS,1654,1170,1935180,0
2,ARMS/002.jpg,ARMS,1654,1170,1935180,3
3,ARMS/003.jpg,ARMS,1654,1170,1935180,10
4,ARMS/004.jpg,ARMS,1654,1170,1935180,2
5,ARMS/005.jpg,ARMS,1654,1170,1935180,6
6,ARMS/006.jpg,ARMS,1654,1170,1935180,13
7,ARMS/007.jpg,ARMS,1654,1170,1935180,11
8,ARMS/008.jpg,ARMS,1654,1170,1935180,16
9,ARMS/009.jpg,ARMS,1654,1170,1935180,14
10,ARMS/010.jpg,ARMS,1654,1170,1935180,16
11,ARMS/011.jpg,ARMS,1654,1170,1935180,3
12,ARMS/012.jpg,ARMS,1654,1170,1935180,0
13,ARMS/013.jpg,ARMS,1654,1170,1935180,10
14,ARMS/014.jpg,ARMS,1654,1170,1935180,10
15,ARMS/015.jpg,ARMS,1654,1170,1935180,3
16,ARMS/016.jpg,ARMS,1654,1170,1935180,6
17,ARMS/017.jpg,ARMS,1654,1170,1935180,11
18,ARMS/018.jpg,ARMS,1654,1170,1935180,4
19,ARMS/019.jpg,ARMS,1654,1170,1935180,4
20,ARMS/020.jpg,ARMS,1654,1170,1935180,8
21,ARMS/021.jpg,ARMS,1654,1170,1935180,11
22,ARMS/022.jpg,ARMS,1654,1170,1935180,2
23,ARMS/023.jpg,ARMS,1654,1170,1935180,6
24,ARMS/024.jpg,ARMS,1654,1170,1935180,11
25,ARMS/025.jpg,ARMS,1654,1170,1935180,7
26,ARMS/026.jpg,ARMS,1654,1170,1935180,6
27,ARMS/027.jpg,ARMS,1654,1170,1935180,6
28,ARMS/028.jpg,ARMS,1654,1170,1935180,7
29,ARMS/029.jpg,ARMS,1654,1170,1935180,5
30,ARMS/030.jpg,ARMS,1654,1170,1935180,3
31,ARMS/031.jpg,ARMS,1654,1170,1935180,10
32,ARMS/032.jpg,ARMS,1654,1170,1935180,12
33,ARMS/033.jpg,ARMS,1654,1170,1935180,7
